 Matrix , NNZ, Solve Time  , Extraction_5_5, Extraction_10_10, Extraction_10_5, Extraction_20_20
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_1_1.mat , 357856,13752424,8721138,15805321,7598273,19466285
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_2_1.mat , 357856,13327974,8158904,14089187,7104810,18767805
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_3_1.mat , 357856,13709046,7892899,14551049,7175804,18708010
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_4_1.mat , 357856,13689210,8229555,14535247,7494408,19247122
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_10_5_1.mat , 357856,13110325,8056080,14395898,7065111,18295604
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_1_1_1.mat , 357856,14009030,8100888,14789404,7067822,18557195
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_1_2_1.mat , 357856,13953438,8203830,14347441,7027414,18548639
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_1_3_1.mat , 357856,14049499,8166211,14486483,7075432,18718713
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_1_4_1.mat , 357856,13975346,8052096,14665614,7127288,18603133
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_1_5_1.mat , 357856,14001503,8211676,14265835,7033357,18350213
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_1_6_1.mat , 357856,13900765,8102728,14925508,6890793,18235500
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_2_1_1.mat , 357856,13127734,8217774,14275339,7049841,18385813
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_2_2_1.mat , 357856,13655938,8071074,14567322,7234750,19098412
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_2_3_1.mat , 357856,13102995,8239246,14165273,7118766,18493297
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_2_4_1.mat , 357856,13477407,8031839,14488684,6974831,18434123
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_2_5_1.mat , 357856,12938178,8042802,13945308,6983695,17925326
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_3_1_1.mat , 357856,12986187,8176459,14874129,6711436,17774105
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_3_2_1.mat , 357856,13726545,8071790,14505012,7236030,18823188
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_3_3_1.mat , 357856,12862155,8081817,14678200,6735721,17827960
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_3_4_1.mat , 357856,12943425,8205187,14331807,6816880,17918571
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_3_5_1.mat , 357856,12849482,8017622,14603454,6707925,17775941
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_4_1_1.mat , 357856,12988596,8054346,14426010,6818570,17839578
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_4_2_1.mat , 357856,12904241,8010765,14540611,6751779,17876187
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_4_3_1.mat , 357856,13160158,8246075,14455551,6991712,18553344
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_4_4_1.mat , 357856,12882790,8035100,14625453,6774408,17721929
