 Matrix , NNZ, Solve Time  , Extraction_5_5, Extraction_10_10, Extraction_10_5, Extraction_20_20
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_4_5_1.mat , 357856,13167496,8229582,14206412,7358647,18551961
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_5_1_1.mat , 357856,13002901,8165597,14625432,6869963,18086120
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_5_2_1.mat , 357856,13188537,8256768,14342003,7067830,18704284
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_5_3_1.mat , 357856,13543693,7983783,14669676,7040737,18468692
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_5_4_1.mat , 357856,13237191,8300809,14206449,7096187,18865258
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_5_5_1.mat , 357856,12998311,8077302,14590151,7131009,18207949
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_6_1_1.mat , 357856,13006317,8060548,14583455,6883070,18179240
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_6_2_1.mat , 357856,13115272,8179584,14469609,7266143,18280838
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_6_3_1.mat , 357856,13678045,8071251,14371743,7144809,18711511
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_6_4_1.mat , 357856,13167395,8110446,14687590,7134224,18665708
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_7_1_1.mat , 357856,13638847,8238706,14219888,7147926,18723715
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_7_2_1.mat , 357856,13119419,8183358,14520787,7121292,18381297
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_7_3_1.mat , 357856,13810616,8089314,14510283,7515426,19238637
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_7_4_1.mat , 357856,12943105,8169972,14482888,6766517,17725975
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_8_1_1.mat , 357856,13068804,8013521,14655134,7095448,18048902
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_8_2_1.mat , 357856,13054524,8245100,14568521,6987741,18465412
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_8_3_1.mat , 357856,13104193,8025908,14721317,7225334,18281077
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_8_4_1.mat , 357856,13062953,8236395,14656438,6998186,18524424
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_9_1_1.mat , 357856,13068540,8048742,14643129,7292644,18336943
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_9_2_1.mat , 357856,13290652,8243681,14254560,7247400,18702943
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_9_3_1.mat , 357856,13108409,8011423,14602631,7108718,18340364
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_9_4_1.mat , 357856,13143378,8186280,14440340,7232144,18054742
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_coupled_test_9_5_1.mat , 357856,13756284,8086086,14744143,7973515,19308198
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_10_1.mat , 30001,4368098,3262774,6183031,4687875,12286021
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_1_1.mat , 30001,4371296,3089868,5843459,4325227,11799402
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_2_1.mat , 30001,4300661,3091833,5955226,4587722,11774201
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_3_1.mat , 30001,4275717,2991549,5745441,4295835,11422664
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_4_1.mat , 30001,4279781,2955542,5834298,4405466,11706816
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_5_1.mat , 30001,4274746,2994556,5726567,4295761,11456729
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_6_1.mat , 30001,4266320,3114821,5880987,4500170,11693925
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_7_1.mat , 30001,4290226,3112690,5926497,4554570,11671674
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_8_1.mat , 30001,4246667,3081312,5911220,4545149,11689146
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_10_9_1.mat , 30001,4290772,3147789,5910911,4607585,11736111
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_10_1.mat , 30001,4302505,3121583,5947763,4632859,11896679
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_10_1.mat , 30001,4287276,2979365,5714346,4304575,11575285
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_11_1.mat , 30001,4269420,3062127,5879291,4551136,11699569
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_1_1.mat , 30001,4308197,3122870,5925565,4467427,11657808
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_1_1.mat , 30001,4402741,3080004,5857802,4515641,11622569
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_2_1.mat , 30001,4231276,2888889,5761313,4386904,11555195
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_3_1.mat , 30001,4280065,2965909,5754233,4306225,11516344
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_4_1.mat , 30001,4291418,3136239,5897465,4472869,11812166
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_5_1.mat , 30001,4237124,3058252,5944232,4503980,11826080
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_6_1.mat , 30001,4248840,3124802,5860674,4462641,11722853
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_7_1.mat , 30001,4283977,2966999,5706541,4287563,11453089
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_8_1.mat , 30001,4282165,2949271,5808834,4435677,11595211
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_11_9_1.mat , 30001,4343198,3124644,5911805,4472112,11643496
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_10_1.mat , 30001,4267136,2903408,5704232,4283180,11452224
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_1_1.mat , 30001,4335786,3121510,5962009,4587450,11775066
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_2_1.mat , 30001,4250368,2919467,5669590,4336919,11392082
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_2_1.mat , 30001,4235436,2945319,5692234,4295909,11449815
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_3_1.mat , 30001,4274326,3068107,5913241,4479583,11576319
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_4_1.mat , 30001,4258511,2936716,5690719,4300340,11520540
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_5_1.mat , 30001,4226318,2874866,5692709,4286971,11431153
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_6_1.mat , 30001,4277472,3096165,5861137,4455503,11615101
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_7_1.mat , 30001,4246388,2902393,5661890,4271768,11376829
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_8_1.mat , 30001,4283659,3081817,5907962,4574593,11755129
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_12_9_1.mat , 30001,4275494,3140076,5922602,4506656,11696230
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_10_1.mat , 30001,4282417,2962227,5773957,4397682,11549311
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_1_1.mat , 30001,4316034,3101893,6005830,4576085,11834591
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_3_1.mat , 30001,4266246,2932485,5667443,4260995,11434279
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_2_1.mat , 30001,4248938,2980928,5635423,4360179,11381508
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_3_1.mat , 30001,4254287,2939241,5777566,4399130,11548420
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_4_1.mat , 30001,4266288,2955036,5811403,4323734,11517622
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_5_1.mat , 30001,4267524,2914606,5712421,4333308,11455240
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_6_1.mat , 30001,4306648,2997874,5724594,4313288,11540592
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_7_1.mat , 30001,4301140,2946649,5757281,4396907,11677018
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_8_1.mat , 30001,4253195,2951237,5789608,4451256,11679581
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_13_9_1.mat , 30001,4327191,3129153,5971231,4628983,11725350
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_10_1.mat , 30001,4248287,3086503,5838443,4423028,11602974
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_1_1.mat , 30001,4259157,2923676,5725454,4274217,11444512
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_4_1.mat , 30001,4244034,2923620,5787754,4397726,11423225
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_2_1.mat , 30001,4221386,2914493,5672608,4245614,11395342
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_3_1.mat , 30001,4227921,3021802,5843263,4493936,11382316
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_4_1.mat , 30001,4279839,3002365,5729782,4295460,11464815
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_5_1.mat , 30001,4266520,3056029,5917648,4522603,11571569
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_6_1.mat , 30001,4239883,2904354,5627820,4243623,11354745
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_7_1.mat , 30001,4278493,2921597,5674186,4273917,11415997
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_8_1.mat , 30001,4338788,2933119,5769070,4363244,11469264
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_14_9_1.mat , 30001,4242239,3101272,5781804,4383168,11530497
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_10_1.mat , 30001,4286562,2909179,5681129,4268312,11436407
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_1_1.mat , 30001,4285094,2886003,5720451,4344063,11336909
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_5_1.mat , 30001,4245204,3059370,5886189,4519591,11640059
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_2_1.mat , 30001,4261734,2904468,5664273,4282184,11397719
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_3_1.mat , 30001,4223295,2895520,5815640,4439142,11457880
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_4_1.mat , 30001,4286723,2969834,5732384,4318933,11608542
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_5_1.mat , 30001,4276392,2923725,5678950,4441748,11476636
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_6_1.mat , 30001,4315837,2987368,5754172,4338714,11522357
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_7_1.mat , 30001,4334895,3100936,5923684,4587779,11794807
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_8_1.mat , 30001,4274294,2895397,5690671,4315454,11366639
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_15_9_1.mat , 30001,6139595,6460020,8661735,10138275,23058092
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_10_1.mat , 30001,4237405,2941869,5724651,4270791,11479192
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_1_1.mat , 30001,4256405,3033454,5701182,4325716,11512832
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_6_1.mat , 30001,4243529,2999637,5757411,4402024,11702953
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_2_1.mat , 30001,4342303,3084650,5880470,4475740,11657492
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_3_1.mat , 30001,4286034,3134654,5976097,4649933,11910081
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_4_1.mat , 30001,4247926,2913798,5648434,4292306,11402947
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_5_1.mat , 30001,4291313,3137080,5924158,4595963,11812171
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_6_1.mat , 30001,4270243,3063648,5788793,4422370,11662169
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_7_1.mat , 30001,4288789,3112384,5908080,4499271,11742409
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_8_1.mat , 30001,4250284,3068943,5856921,4550051,11616284
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_16_9_1.mat , 30001,4281925,2968380,5719682,4370102,11542861
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_10_1.mat , 30001,4261350,3100747,5987173,4569469,11714635
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_1_1.mat , 30001,4238549,3105108,5840046,4488946,11611172
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_7_1.mat , 30001,4247097,2905778,5787337,4259347,11437919
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_2_1.mat , 30001,4291087,2958615,5775737,4406677,11443931
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_3_1.mat , 30001,4258650,2923873,5789536,4395807,11577046
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_4_1.mat , 30001,4270178,2947130,5721497,4297727,11452189
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_5_1.mat , 30001,4266447,3091490,6064585,4465662,11604678
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_6_1.mat , 30001,4275623,2939374,5748326,4317916,11552531
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_7_1.mat , 30001,4286848,3108201,5935360,4541634,11645428
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_8_1.mat , 30001,4233761,2915663,5724950,4304383,11433507
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_17_9_1.mat , 30001,4259029,3059126,6015152,4537926,11596419
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_10_1.mat , 30001,4231026,2948258,5695377,4376914,11366547
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_1_1.mat , 30001,4264515,3095692,6016421,4595488,11720809
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_8_1.mat , 30001,4262261,3084429,5851678,4458738,11497101
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_2_1.mat , 30001,4258688,2937808,5773839,4399556,11617929
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_3_1.mat , 30001,4222017,2956213,5739996,4290990,11403168
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_4_1.mat , 30001,4475551,13126703,5787528,4452470,11605891
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_5_1.mat , 30001,4419001,2957487,5693182,4340205,11545743
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_6_1.mat , 30001,4260915,3102243,5828435,4444725,11837804
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_7_1.mat , 30001,4233578,2955740,5734395,4343602,11519637
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_8_1.mat , 30001,4291690,3127070,5969983,4602339,11853746
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_18_9_1.mat , 30001,4263477,2998605,5726938,4330812,11606027
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_10_1.mat , 30001,4323526,2957998,5783261,4425764,11679450
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_1_1.mat , 30001,4280973,2968742,5759099,4399089,11595223
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_1_9_1.mat , 30001,4248780,2966438,5729737,4309538,11393376
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_2_1.mat , 30001,4228411,2925559,5693994,4341508,11464800
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_3_1.mat , 30001,4288980,3137673,5955450,4485580,11668526
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_4_1.mat , 30001,7592464,6209314,8708081,10259978,20988133
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_5_1.mat , 30001,4233486,2923539,5697109,4262369,11388508
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_6_1.mat , 30001,4261526,2955175,5732600,4405265,11484010
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_7_1.mat , 30001,4219115,3041954,5927213,4516447,11556031
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_8_1.mat , 30001,4292994,3106109,5965940,4494964,11696199
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_19_9_1.mat , 30001,4323481,5555792,5702450,4344101,11423402
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_10_1.mat , 30001,4347308,3017108,5866878,4510298,11831421
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_1_1.mat , 30001,4299722,3066628,5956105,4493348,11710982
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_2_1.mat , 30001,4269910,2951397,5804778,4366199,11448383
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_3_1.mat , 30001,4309031,2928306,5881811,4387599,11617304
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_4_1.mat , 30001,4278461,3028483,5907958,4372651,11520958
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_5_1.mat , 30001,4290417,2954848,5809579,4397177,11647198
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_6_1.mat , 30001,4231588,2963063,5783164,4258410,11400366
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_7_1.mat , 30001,4253198,2952829,5826451,4283747,11503304
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_8_1.mat , 30001,4253042,3073230,5994435,4530816,11661743
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_20_9_1.mat , 30001,4232570,3064140,5861037,4481624,11474424
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_10_1.mat , 30001,4226170,3080862,5897317,4401913,11505705
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_1_1.mat , 30001,4260818,2909647,5758180,4390511,11474701
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_2_1.mat , 30001,4292058,3053497,5898232,4515601,11520849
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_3_1.mat , 30001,4261063,2910282,5743856,4344002,11495758
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_4_1.mat , 30001,4250685,3122722,5983758,4476974,11602357
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_5_1.mat , 30001,4347994,3088572,5974251,4502276,11900443
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_6_1.mat , 30001,4255206,3088599,5892582,4499888,11700818
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_7_1.mat , 30001,4227576,2920886,5714799,4352910,11509077
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_8_1.mat , 30001,4226450,2948906,5758492,4273908,11438360
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_2_9_1.mat , 30001,4244634,2922845,5764950,4348932,11519627
/disks/large/shared/soft/UFloridaSparseMat/moose_matrices/AC_mobility_derivative_test_3_10_1.mat , 30001,4251626,3088122,5875613,4434136,11580976
